"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"17018","ENSG00000147475","ENST00000335171","ERLIN2"
"17019","ENSG00000167904","ENST00000434581","TMEM68"
"17020","ENSG00000167904","ENST00000334667","TMEM68"
"17021","ENSG00000167904","ENST00000523073","TMEM68"
"17022","ENSG00000167904","ENST00000521229","TMEM68"
"17023","ENSG00000104419","ENST00000414097","NDRG1"
"17024","ENSG00000104419","ENST00000522476","NDRG1"
"17025","ENSG00000104419","ENST00000537882","NDRG1"
"17026","ENSG00000205268","ENST00000401827","PDE7A"
"17027","ENSG00000147471","ENST00000328195","PLPBP"
"17028","ENSG00000131773","ENST00000355849","KHDRBS3"
"17029","ENSG00000066777","ENST00000262215","ARFGEF1"
"17030","ENSG00000104442","ENST00000276569","ARMC1"
"17031","ENSG00000104442","ENST00000458464","ARMC1"
"17032","ENSG00000131931","ENST00000254250","THAP1"
"17033","ENSG00000131931","ENST00000345117","THAP1"
"17034","ENSG00000137563","ENST00000260118","GGH"
"17035","ENSG00000104361","ENST00000430223","NIPAL2"
"17036","ENSG00000104361","ENST00000341166","NIPAL2"
"17037","ENSG00000104205","ENST00000519289","SGK3"
"17038","ENSG00000104205","ENST00000520976","SGK3"
"17039","ENSG00000104205","ENST00000396596","SGK3"
"17040","ENSG00000104522","ENST00000425753","TSTA3"
"17041","ENSG00000133731","ENST00000256108","IMPA1"
"17042","ENSG00000133731","ENST00000311489","IMPA1"
"17043","ENSG00000183309","ENST00000501748","ZNF623"
"17044","ENSG00000179041","ENST00000320270","RRS1"
"17045","ENSG00000104221","ENST00000220659","BRF2"
"17046","ENSG00000165102","ENST00000379644","HGSNAT"
"17047","ENSG00000104267","ENST00000285379","CA2"
"17048","ENSG00000205133","ENST00000521988","TRIQK"
"17049","ENSG00000185697","ENST00000522677","MYBL1"
"17050","ENSG00000185697","ENST00000524176","MYBL1"
"17051","ENSG00000183665","ENST00000328599","TRMT12"
"17052","ENSG00000176853","ENST00000521166","FAM91A1"
"17053","ENSG00000176853","ENST00000334705","FAM91A1"
"17054","ENSG00000178814","ENST00000618853","OPLAH"
"17055","ENSG00000259305","ENST00000357082","ZHX1-C8orf76"
"17056","ENSG00000186106","ENST00000520552","ANKRD46"
"17057","ENSG00000186106","ENST00000520311","ANKRD46"
"17058","ENSG00000104450","ENST00000388798","SPAG1"
"17059","ENSG00000156675","ENST00000287263","RAB11FIP1"
"17060","ENSG00000156675","ENST00000330843","RAB11FIP1"
"17061","ENSG00000185900","ENST00000331373","POMK"
"17062","ENSG00000185900","ENST00000614426","POMK"
"17063","ENSG00000104497","ENST00000353788","SNX16"
"17064","ENSG00000104497","ENST00000396330","SNX16"
"17065","ENSG00000123908","ENST00000220592","AGO2"
"17066","ENSG00000123908","ENST00000519980","AGO2"
"17067","ENSG00000164823","ENST00000297438","OSGIN2"
"17068","ENSG00000164823","ENST00000451899","OSGIN2"
"17069","ENSG00000104408","ENST00000220849","EIF3E"
"17070","ENSG00000140396","ENST00000452400","NCOA2"
"17071","ENSG00000172172","ENST00000306185","MRPL13"
"17072","ENSG00000091656","ENST00000521891","ZFHX4"
"17073","ENSG00000164830","ENST00000531443","OXR1"
"17074","ENSG00000164830","ENST00000517566","OXR1"
"17075","ENSG00000164830","ENST00000442977","OXR1"
"17076","ENSG00000164830","ENST00000312046","OXR1"
"17077","ENSG00000164830","ENST00000449762","OXR1"
"17078","ENSG00000164830","ENST00000297447","OXR1"
"17079","ENSG00000180828","ENST00000321870","BHLHE22"
"17080","ENSG00000176731","ENST00000619594","C8orf59"
"17081","ENSG00000176731","ENST00000614462","C8orf59"
"17082","ENSG00000245910","ENST00000520944","SNHG6"
"17083","ENSG00000167632","ENST00000389328","TRAPPC9"
"17084","ENSG00000168522","ENST00000302279","FNTA"
"17085","ENSG00000066827","ENST00000520356","ZFAT"
"17086","ENSG00000066827","ENST00000520727","ZFAT"
"17087","ENSG00000066827","ENST00000523399","ZFAT"
