"","geneid","hl.ratio","pval"
"415","KHDC1L","6.9728782032076504","0"
"416","SLC30A3","NA","NA"
"417","SLC3A1","NA","NA"
"418","RP11-345J4.8","NA","NA"
"419","CCDC173","NA","NA"
"420","SFT2D2","1.9523957390026101","0.347093483174366"
"421","CPEB4","NA","NA"
"422","TMEM81","NA","NA"
"423","RHOBTB1","NA","NA"
"424","SLC25A44","-0.50069392840114402","0.76465990546126905"
"425","RNF19B","NA","NA"
"426","ULBP3","1.28045006062605","0.13174181995642401"
"427","HES1","NA","NA"
"428","TRIB1","NA","NA"
"429","SLC6A10P","NA","NA"
"430","FAM81A","-1.92194617456664","0.310874033353293"
"431","HIST1H2BK","NA","NA"
"432","SLC25A25","NA","NA"
"433","KDM5B","NA","NA"
"434","HAS3","NA","NA"
"435","MCMDC2","NA","NA"
"436","FAXC","NA","NA"
"437","FAM218A","NA","NA"
"438","ARL4D","5.9445045209965999","2.32771928448296E-3"
"439","MORC4","NA","NA"
"440","MORC4","NA","NA"
"441","CRX","NA","NA"
"442","TUFT1","4.1867080786180697","5.3425365854588097E-2"
"443","MAP3K8","NA","NA"
"444","NFKBIB","0.61866660344374802","0.205235009646595"
"445","C7orf53","NA","NA"
"446","AP1S3","NA","NA"
"447","KLHL21","NA","NA"
"448","ATAD2B","NA","NA"
"449","RGS2","3.5105820396603802","0.14144602433855699"
"450","SAP18","0.91516623598262004","8.8443573724266907E-6"
"451","KLF3","NA","NA"
"452","C8orf33","0.83428992269532298","0.63538128329418098"
"453","INO80C","-2.9875803059720201","0.124693488239019"
"454","MFSD2A","NA","NA"
"455","ZDHHC23","NA","NA"
"456","USP38","NA","NA"
"457","EIF4A3","0.79924794638948005","6.26665950268057E-43"
"458","PTPRR","NA","NA"
"459","TDRD3","NA","NA"
"460","AKAP17A","NA","NA"
"461","BRD2","NA","NA"
"462","C11orf82","NA","NA"
"463","EPHA5","NA","NA"
"464","MLF1","NA","NA"
"465","PCDH19","NA","NA"
"466","NR4A1","NA","NA"
"467","TFRC","0.28050259220736401","7.7855918816890305E-4"
"468","C1orf63","7.3477342432022903","1.5197909892667599E-4"
"469","SESN3","NA","NA"
"470","KLHL11","NA","NA"
"471","TP53BP2","NA","NA"
"472","NOTUM","NA","NA"
"473","KIAA1324L","NA","NA"
"474","NUDT10","NA","NA"
"475","KLF5","NA","NA"
"476","RNF122","NA","NA"
"477","RNF38","NA","NA"
"478","TES","NA","NA"
"479","CRY1","NA","NA"
"480","YTHDC1","-0.167785367444796","0.81566273377825804"
"481","FAM126B","NA","NA"
"482","RYBP","2.5350892576531701","5.3709052407706397E-2"
"483","YRDC","1.4542159452860699","1.19850940907527E-2"
"484","HMCN1","11.7085947319129","4.6003476996763998E-8"
"485","RAPGEF2","NA","NA"
"486","DNAJA1","1.4305361300600401","3.0693421332536702E-40"
"487","HIC2","0.82429619389476105","0.74719042544285297"
"488","CTC-534A2.2","NA","NA"
"489","RP11-305N23.1","NA","NA"
"490","GDF9","NA","NA"
"491","HSD17B13","NA","NA"
"492","NMU","NA","NA"
"493","PHLPP1","NA","NA"
"494","AGTR1","NA","NA"
"495","GPR75","NA","NA"
"496","RBM24","NA","NA"
"497","XKR9","NA","NA"
"498","GNRH1","NA","NA"
"499","NGDN","0.64491781500427603","2.94785778066365E-2"
"500","ZNF408","NA","NA"
"501","FLRT3","NA","NA"
"502","TMEM133","NA","NA"
"503","EGR1","NA","NA"
"504","ZNF738","NA","NA"
"505","STAC","NA","NA"
"506","ITGB1BP2","NA","NA"
"507","TNFRSF21","NA","NA"
"508","TLE1","NA","NA"
"509","CPA3","NA","NA"
"510","ISOC1","0.55873098552201195","7.3798464494403998E-2"
"511","CCDC30","NA","NA"
"512","NRDE2","NA","NA"
"513","ATG14","NA","NA"
"514","CBX4","NA","NA"
"515","GKAP1","NA","NA"
"516","FAM222A","NA","NA"
"517","SEC61A2","NA","NA"
"518","FAM214A","NA","NA"
"519","FAM160A1","NA","NA"
"520","CPEB2","NA","NA"
"521","SDE2","5.7568390090779902","2.2780837612513599E-3"
"522","LTF","NA","NA"
"523","NUDT11","1.6388516394071999","5.86607550097139E-7"
"524","FBXL13","NA","NA"
"525","PTP4A3","NA","NA"
"526","RC3H1","NA","NA"
"527","KCNMB4","NA","NA"
"528","C1orf52","NA","NA"
"529","HIST2H2BF","-0.22652896574506801","2.9761501741211401E-2"
"530","MAN1A1","NA","NA"
"531","ZBTB10","NA","NA"
"532","DYNC2H1","NA","NA"
"533","DLL1","NA","NA"
"534","RMND5A","NA","NA"
"535","UBN2","-4.0841144623236598","2.7178059418785899E-2"
"536","RRN3","NA","NA"
"537","DAAM1","NA","NA"
"538","ACVR1C","NA","NA"
"539","FZD7","2.7613254956328599","0.17161829121212499"
"540","ADAMTSL3","NA","NA"
"541","LRIG1","NA","NA"
"542","BCL2L2-PABPN1","NA","NA"
"543","CD55","1.1542998981377399","0.124848865368336"
"544","ENAH","0.35661544942293999","6.3790166787297898E-3"
"545","DIS3","1.76556798330798","3.1942213937324801E-32"
"546","GLMN","NA","NA"
"547","L1CAM","NA","NA"
"548","PKDCC","NA","NA"
"549","STX11","NA","NA"
"550","SLC25A33","0.85880462417230197","0.73781072210576104"
"551","FAM184A","NA","NA"
"552","CHORDC1","0.206523942156462","0.168606371360008"
"553","DENND2C","NA","NA"
"554","TMEM185A","NA","NA"
"555","EPB41","2.6006968940836001E-2","0.94814334714562798"
"556","SNIP1","1.75750983024624","1.0068009429357201E-4"
"557","NRBF2","0.87641922898732205","0.19299085794718099"
"558","RGPD6","NA","NA"
"559","GCC1","-1.84142629669963","0.18085564502206"
"560","KHDC1","NA","NA"
"561","TFB2M","NA","NA"
"562","PIM3","NA","NA"
"563","TSC22D2","0.11205273140522801","0.89600790976297195"
"564","PRPF18","3.6371008288976099","8.49005848699513E-3"
"565","KCTD12","1.10514682189036","3.7231118560003798E-30"
"566","AQP3","NA","NA"
"567","ZNF468","NA","NA"
"568","GCLC","-0.27000039561683697","0.83350737520761498"
"569","ADAT3","NA","NA"
"570","LSG1","7.4977103021112906E-2","0.90414996346429999"
"571","ZMYM5","NA","NA"
"572","PCDH9","3.9610664085452401","2.94825836793043E-7"
"573","FNBP4","0.85562276787723202","0.58822995258261501"
"574","CELSR1","NA","NA"
"575","KATNA1","NA","NA"
"576","PPM1B","2.2695701812170399","0.28360509183684601"
"577","FASTKD5","NA","NA"
"578","IRF7","NA","NA"
"579","BCL2L11","NA","NA"
"580","OTUD3","NA","NA"
"581","PDRG1","NA","NA"
"582","HNRNPF","0.442476970422363","1.6899848729070901E-8"
"583","C11orf96","NA","NA"
"584","RPA4","NA","NA"
"585","BORA","NA","NA"
"586","ZFAND2A","NA","NA"
"587","DFNB31","NA","NA"
"588","DYNLL2","-3.1278826255331298","0.115383790215442"
"589","CYB5R4","NA","NA"
"590","SRP19","0.51355713029832295","3.6044508857593498E-4"
"591","ADPGK","1.11555518178113","1.9839651075658E-4"
"592","ZCCHC10","3.00511416529252","3.9401931107371203E-2"
"593","STK3","NA","NA"
"594","RSRC2","NA","NA"
"595","ZFYVE1","0.178213920584056","0.98939113386302202"
"596","IER2","NA","NA"
"597","ELOF1","NA","NA"
"598","KPNA2","2.3767635463727799","0"
"599","FSD1L","NA","NA"
"600","SBNO1","2.0446270685325301","2.6422084563673599E-2"
"601","CPEB3","NA","NA"
"602","TRIM23","2.8007809011318301","0.20031810249535201"
"603","FGD6","NA","NA"
"604","RP1-177G6.2","NA","NA"
"605","PLEKHA5","NA","NA"
"606","GPR137C","NA","NA"
"607","MBIP","NA","NA"
"608","ATP11B","-8.3546271106937606","1.368960501443E-5"
"609","ZNF721","NA","NA"
"610","BAZ1A","5.9394848886860796","3.47301225499776E-3"
"611","DNTTIP2","0.94778393287047003","2.7106933139269698E-7"
