"","id","hgnc_symbol"
"9461","ENSG00000131116","ZNF428"
"9462","ENSG00000105245","NUMBL"
"9463","ENSG00000160410","SHKBP1"
"9464","ENSG00000198482","ZNF808"
"9465","ENSG00000104812","GYS1"
"9466","ENSG00000104812","GYS1"
"9467","ENSG00000181666","HKR1"
"9468","ENSG00000181666","HKR1"
"9469","ENSG00000181666","HKR1"
"9470","ENSG00000126261","UBA2"
"9471","ENSG00000126254","RBM42"
"9472","ENSG00000196214","ZNF766"
"9473","ENSG00000198464","ZNF480"
"9474","ENSG00000198464","ZNF480"
"9475","ENSG00000198464","ZNF480"
"9476","ENSG00000249115","HAUS5"
"9477","ENSG00000197808","ZNF461"
"9478","ENSG00000197808","ZNF461"
"9479","ENSG00000197019","SERTAD1"
"9480","ENSG00000167565","SERTAD3"
"9481","ENSG00000090013","BLVRB"
"9482","ENSG00000063241","ISOC2"
"9483","ENSG00000178928","TPRX1"
"9484","ENSG00000178928","TPRX1"
"9485","ENSG00000105723","GSK3A"
"9486","ENSG00000166398","KIAA0355"
"9487","ENSG00000160570","DEDD2"
"9488","ENSG00000160570","DEDD2"
"9489","ENSG00000105221","AKT2"
"9490","ENSG00000105221","AKT2"
"9491","ENSG00000126247","CAPNS1"
"9492","ENSG00000105373","NOP53"
"9493","ENSG00000167625","ZNF526"
"9494","ENSG00000105402","NAPA"
"9495","ENSG00000063177","RPL18"
"9496","ENSG00000063177","RPL18"
"9497","ENSG00000105771","SMG9"
"9498","ENSG00000170684","ZNF296"
"9499","ENSG00000142252","GEMIN7"
"9500","ENSG00000167747","C19orf48"
"9501","ENSG00000167747","C19orf48"
"9502","ENSG00000130529","TRPM4"
"9503","ENSG00000130529","TRPM4"
"9504","ENSG00000177045","SIX5"
"9505","ENSG00000183207","RUVBL2"
"9506","ENSG00000185869","ZNF829"
"9507","ENSG00000185869","ZNF829"
"9508","ENSG00000104884","ERCC2"
"9509","ENSG00000105254","TBCB"
"9510","ENSG00000105254","TBCB"
"9511","ENSG00000197928","ZNF677"
"9512","ENSG00000121289","CEP89"
"9513","ENSG00000170906","NDUFA3"
"9514","ENSG00000105270","CLIP3"
"9515","ENSG00000142544","CTU1"
"9516","ENSG00000179820","MYADM"
"9517","ENSG00000104856","RELB"
"9518","ENSG00000130844","ZNF331"
"9519","ENSG00000130402","ACTN4"
"9520","ENSG00000088038","CNOT3"
"9521","ENSG00000130749","ZC3H4"
"9522","ENSG00000130748","TMEM160"
"9523","ENSG00000063322","MED29"
"9524","ENSG00000104983","CCDC61"
"9525","ENSG00000126461","SCAF1"
"9526","ENSG00000125746","EML2"
"9527","ENSG00000105722","ERF"
"9528","ENSG00000105722","ERF"
"9529","ENSG00000105617","LENG1"
"9530","ENSG00000104866","PPP1R37"
"9531","ENSG00000161558","TMEM143"
"9532","ENSG00000161558","TMEM143"
"9533","ENSG00000161558","TMEM143"
"9534","ENSG00000180884","ZNF792"
"9535","ENSG00000176396","EID2"
"9536","ENSG00000171051","FPR1"
"9537","ENSG00000187187","ZNF546"
"9538","ENSG00000160007","ARHGAP35"
"9539","ENSG00000142227","EMP3"
"9540","ENSG00000104859","CLASRP"
"9541","ENSG00000104859","CLASRP"
"9542","ENSG00000089351","GRAMD1A"
"9543","ENSG00000089351","GRAMD1A"
